fold,model,inner_mean_mse,outer_c_index,outer_mse,outer_rmse,outer_mae,outer_r2,outer_pearson,n_train_outer,n_test_outer,best_params_json
3,extratrees,12.808192252091015,0.6722930382406499,14.265368646680281,3.776952296055681,2.6086725286150627,0.46304962106194136,0.684415791749814,1073,120,"{""extratrees_max_depth"": 23, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 334, ""extratrees_max_features"": ""sqrt""}"
3,svr,13.237766264013704,0.6762151561843396,16.025592681340182,4.003197806921384,2.702363282173986,0.39679455357397564,0.643954459980492,1073,120,"{""svr_C"": 14.083889067605355, ""svr_epsilon"": 0.1256033329895804, ""svr_gamma"": 0.0799191779338015}"
3,gpr,12.920803854873693,0.6795769715646449,14.215182509519002,3.77030270794256,2.5110016665191393,0.46493863395979285,0.68517645128804,1073,120,"{""gpr_alpha"": 0.00998886076891516, ""gpr_length_scale"": 1.1874165983462093, ""gpr_constant"": 1.2742434270070884}"
3,knn,12.86749090330773,0.6595461549236588,14.379286252385707,3.7920029341214527,2.5583988181990254,0.45876174718596685,0.6792166661915316,1073,120,"{""knn_n_neighbors"": 80, ""knn_weights"": ""distance"", ""knn_p"": 1}"
3,rf,13.329856182143994,0.6722930382406499,15.722502581036421,3.9651611040456376,2.899242888952469,0.408202905383261,0.6732923287180326,1073,120,"{""rf_max_depth"": 14, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 380, ""rf_max_features"": ""log2""}"
4,xgb,12.916095248670961,0.6585470085470085,10.562011773551752,3.2499248873707454,2.26680694777951,0.20029883966907092,0.4761125326441477,1074,119,"{""xgb_max_depth"": 9, ""xgb_n_estimators"": 388, ""xgb_learning_rate"": 0.10528164789492038, ""xgb_subsample"": 0.6211125595658398, ""xgb_colsample_bytree"": 0.8438225184770138, ""xgb_reg_lambda"": 24.844716957608593, ""xgb_reg_alpha"": 0.010179588666146721}"
4,gbrt,13.669665739669663,0.658974358974359,10.934983411064453,3.3068086444583473,2.3562902101476157,0.17205934726135386,0.4455897168886023,1074,119,"{""gbrt_max_depth"": 10, ""gbrt_min_samples_leaf"": 17, ""gbrt_n_estimators"": 303, ""gbrt_learning_rate"": 0.03869556834211046, ""gbrt_subsample"": 0.9047502307863117}"
4,extratrees,13.100510732022846,0.643019943019943,10.103175385465953,3.1785492579895553,2.269568392774375,0.23503956897530953,0.4904881737866341,1074,119,"{""extratrees_max_depth"": 21, ""extratrees_min_samples_split"": 2, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 384, ""extratrees_max_features"": ""log2""}"
4,svr,13.74670051237653,0.6517094017094017,10.285037587307572,3.2070294023141686,2.247071910758176,0.22126989924276252,0.48432563467799894,1074,119,"{""svr_C"": 28.264750918664088, ""svr_epsilon"": 0.19586078674641025, ""svr_gamma"": 0.07990421232213193}"
4,gpr,13.290783268059863,0.6381766381766382,9.940032149116227,3.152781652623002,2.239776010315838,0.24739193500236856,0.49891657059984473,1074,119,"{""gpr_alpha"": 0.009985334761841708, ""gpr_length_scale"": 1.3023910412862394, ""gpr_constant"": 7.207921820198072}"
4,knn,13.37106921497761,0.6688034188034188,9.966638264316057,3.1569982997011667,2.2599415440217716,0.24537745692249358,0.5025561446857653,1074,119,"{""knn_n_neighbors"": 70, ""knn_weights"": ""distance"", ""knn_p"": 1}"
4,rf,13.879948336669027,0.6532763532763532,10.35726409293085,3.2182703573396143,2.481908826218623,0.2158012800448348,0.49033322175609106,1074,119,"{""rf_max_depth"": 16, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 475, ""rf_max_features"": ""log2""}"
5,xgb,12.985227381425286,0.6959401709401709,8.394219057274038,2.897277870221294,2.2340684460524103,0.548531650798346,0.758572678309864,1074,119,"{""xgb_max_depth"": 13, ""xgb_n_estimators"": 608, ""xgb_learning_rate"": 0.023243745492166897, ""xgb_subsample"": 0.8108717932418208, ""xgb_colsample_bytree"": 0.5569228185516418, ""xgb_reg_lambda"": 21.085316209277725, ""xgb_reg_alpha"": 0.13007798428184578}"
5,gbrt,13.57138453045533,0.68497150997151,9.288339855064258,3.0476777807150577,2.3616924463497395,0.5004429319060963,0.7248969571238939,1074,119,"{""gbrt_max_depth"": 10, ""gbrt_min_samples_leaf"": 18, ""gbrt_n_estimators"": 514, ""gbrt_learning_rate"": 0.02994303615188828, ""gbrt_subsample"": 0.7629754742128202}"
5,extratrees,13.044978615924373,0.70505698005698,8.163010392453183,2.857098246902473,2.3064825986261113,0.5609668033140928,0.7764672401624253,1074,119,"{""extratrees_max_depth"": 24, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 447, ""extratrees_max_features"": ""log2""}"
5,svr,13.644162695041791,0.6923789173789173,7.68108414990996,2.7714768896582846,2.1266383187204148,0.5868863610089095,0.7764685349675106,1074,119,"{""svr_C"": 18.215510235522277, ""svr_epsilon"": 0.05360649311233415, ""svr_gamma"": 0.07940161958803871}"
5,gpr,13.207584061593138,0.7143162393162393,7.909136144213489,2.812318642012937,2.1638814943357363,0.5746209844803877,0.7711495145043973,1074,119,"{""gpr_alpha"": 0.009999413057079992, ""gpr_length_scale"": 1.9210399020011149, ""gpr_constant"": 2.0034914390461642}"
5,knn,13.211766621185092,0.7047720797720798,7.901109519489017,2.810891232240945,2.194117546478371,0.5750526824131308,0.7790494184113954,1074,119,"{""knn_n_neighbors"": 80, ""knn_weights"": ""distance"", ""knn_p"": 1}"
5,rf,13.653475506794308,0.6892450142450143,9.710723433498572,3.116203368443493,2.6519641608264917,0.4777257719672713,0.7579334180408374,1074,119,"{""rf_max_depth"": 16, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 479, ""rf_max_features"": ""log2""}"
6,xgb,12.484591563270717,0.6693019943019943,14.235968215237143,3.773058204591753,2.670361335221388,0.352833870816072,0.5975568244598755,1074,119,"{""xgb_max_depth"": 12, ""xgb_n_estimators"": 666, ""xgb_learning_rate"": 0.04010920546693137, ""xgb_subsample"": 0.6982859387648175, ""xgb_colsample_bytree"": 0.763820055657465, ""xgb_reg_lambda"": 25.377912341138945, ""xgb_reg_alpha"": 0.08748067534750371}"
6,gbrt,13.08955576243899,0.6748575498575499,14.753375137765035,3.841012254310709,2.837007177154255,0.32931258794983553,0.5756083710174632,1074,119,"{""gbrt_max_depth"": 9, ""gbrt_min_samples_leaf"": 23, ""gbrt_n_estimators"": 590, ""gbrt_learning_rate"": 0.02393882476053366, ""gbrt_subsample"": 0.8315564204608195}"
6,extratrees,12.38794984684419,0.6674501424501424,14.04296600904971,3.747394562766204,2.798147784576707,0.36160773774340826,0.6028818140027941,1074,119,"{""extratrees_max_depth"": 24, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 365, ""extratrees_max_features"": ""sqrt""}"
6,svr,12.978997361258891,0.6435185185185185,15.199990994016934,3.898716582930456,2.7578720078377974,0.3090094620540257,0.565965002387776,1074,119,"{""svr_C"": 37.30026223137234, ""svr_epsilon"": 0.1994729457439255, ""svr_gamma"": 0.07991098364602643}"
6,gpr,12.446119795968114,0.645940170940171,14.664825087013,3.829467990075514,2.741706975362864,0.3333380671246835,0.5848779792954664,1074,119,"{""gpr_alpha"": 1.287987784536252e-06, ""gpr_length_scale"": 2.2374573761177254, ""gpr_constant"": 8.051244714568746}"
6,knn,12.44860424145333,0.6567663817663818,14.009343922532736,3.742905812671852,2.692904810033695,0.363136195468046,0.6065317981738749,1074,119,"{""knn_n_neighbors"": 71, ""knn_weights"": ""distance"", ""knn_p"": 1}"
6,rf,13.213683652777533,0.6583333333333333,15.265100164056335,3.90705773748691,3.1325188111506503,0.30604960369302725,0.5733716961083124,1074,119,"{""rf_max_depth"": 14, ""rf_min_samples_split"": 3, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 669, ""rf_max_features"": ""log2""}"
7,xgb,11.569574587971703,0.6905982905982906,10.130282221057344,3.182810428074117,2.1979368282027965,0.2809478313352507,0.5347105131962584,1074,119,"{""xgb_max_depth"": 13, ""xgb_n_estimators"": 750, ""xgb_learning_rate"": 0.046036719830359916, ""xgb_subsample"": 0.8359382525536567, ""xgb_colsample_bytree"": 0.6010851308413236, ""xgb_reg_lambda"": 22.400741551231217, ""xgb_reg_alpha"": 0.03198545200482987}"
7,gbrt,12.446532894443182,0.6965811965811965,10.292349108733513,3.2081691209681438,2.196097728877574,0.269444247870413,0.532446585056594,1074,119,"{""gbrt_max_depth"": 10, ""gbrt_min_samples_leaf"": 20, ""gbrt_n_estimators"": 547, ""gbrt_learning_rate"": 0.03752357169030491, ""gbrt_subsample"": 0.8913212441108161}"
7,extratrees,11.925281825035247,0.6921652421652421,10.069440422088068,3.1732381603163775,2.2833035523618026,0.28526641067387815,0.5376288568123702,1074,119,"{""extratrees_max_depth"": 17, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 299, ""extratrees_max_features"": ""log2""}"
7,svr,12.24169434688135,0.6904558404558404,10.940742346409749,3.307679299208094,2.287249706062802,0.22342099269105298,0.4868861088323803,1074,119,"{""svr_C"": 67.36462146556077, ""svr_epsilon"": 0.13988804095733037, ""svr_gamma"": 0.07997164812339758}"
7,gpr,12.003834903393727,0.6767094017094017,10.34044867175163,3.215656802544642,2.27568771796718,0.2660301183974836,0.5173869165352052,1074,119,"{""gpr_alpha"": 0.009988506386581407, ""gpr_length_scale"": 2.073995925025131, ""gpr_constant"": 3.486825953801495}"
7,knn,12.030552837494534,0.6720797720797721,10.346429074766561,3.2165865563927487,2.2852714091748507,0.2656056265952279,0.5217058502013325,1074,119,"{""knn_n_neighbors"": 79, ""knn_weights"": ""distance"", ""knn_p"": 1}"
7,rf,12.836362897918704,0.7014245014245014,10.418755322954715,3.2278096788619237,2.506480564038812,0.26047187568126295,0.5342497559984282,1074,119,"{""rf_max_depth"": 20, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 354, ""rf_max_features"": ""log2""}"
8,xgb,12.120943567521874,0.6683048433048433,19.57940641008328,4.424862304081707,3.028349754787471,0.36002479872890625,0.617565382668877,1074,119,"{""xgb_max_depth"": 11, ""xgb_n_estimators"": 568, ""xgb_learning_rate"": 0.026998725838282805, ""xgb_subsample"": 0.7463368788359706, ""xgb_colsample_bytree"": 0.5640131298590001, ""xgb_reg_lambda"": 20.119973903130802, ""xgb_reg_alpha"": 0.0012791026685989508}"
8,gbrt,12.698164085248523,0.6561965811965812,20.234828503590286,4.49831396231858,3.1095476575839176,0.33860158101615434,0.5909264490733742,1074,119,"{""gbrt_max_depth"": 8, ""gbrt_min_samples_leaf"": 16, ""gbrt_n_estimators"": 446, ""gbrt_learning_rate"": 0.030807697334549553, ""gbrt_subsample"": 0.8231050917607363}"
8,extratrees,12.263507102751884,0.6376780626780627,19.31201009719932,4.3945432182650475,2.997110963533971,0.3687649518046876,0.6127929864816086,1074,119,"{""extratrees_max_depth"": 17, ""extratrees_min_samples_split"": 2, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 524, ""extratrees_max_features"": ""log2""}"
8,svr,12.948302280045478,0.6215811965811966,21.19563911000467,4.603872186540876,3.1338522808588367,0.30719639189322046,0.5700954408216058,1074,119,"{""svr_C"": 16.979876582975834, ""svr_epsilon"": 0.04746985530764471, ""svr_gamma"": 0.07959424303142464}"
8,gpr,12.400552141569612,0.6264245014245015,19.549445883285564,4.4214755323631,2.990824609142155,0.3610040926751048,0.6095227721026585,1074,119,"{""gpr_alpha"": 1.0915907416760098e-06, ""gpr_length_scale"": 1.7635040202275913, ""gpr_constant"": 1.8429782285284364}"
8,knn,12.418040815527082,0.6371082621082621,19.421529053499157,4.406986391344901,3.032238096043821,0.3651851999657916,0.6097460689512595,1074,119,"{""knn_n_neighbors"": 63, ""knn_weights"": ""distance"", ""knn_p"": 1}"
8,rf,12.786087998925897,0.653062678062678,20.752908049893097,4.555535978333735,3.427705871269645,0.3216675609046544,0.6070691489767296,1074,119,"{""rf_max_depth"": 15, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 627, ""rf_max_features"": ""log2""}"
