Model,File,dup_groups,dup_rows
rf,rf_converted_seed_7.csv,1883,47325
rf,rf_converted_seed_8.csv,2468,46631
rf,rf_converted_seed_9.csv,2290,46968
svr,svr_converted_seed_1.csv,2657,46490
svr,svr_converted_seed_10.csv,2215,47023
svr,svr_converted_seed_11.csv,2153,47257
svr,svr_converted_seed_12.csv,1945,47437
svr,svr_converted_seed_13.csv,2097,47223
svr,svr_converted_seed_14.csv,2452,46737
svr,svr_converted_seed_15.csv,2437,46776
svr,svr_converted_seed_16.csv,2463,46667
svr,svr_converted_seed_17.csv,2424,46817
svr,svr_converted_seed_18.csv,2196,47063
svr,svr_converted_seed_19.csv,2121,47213
svr,svr_converted_seed_2.csv,2192,47072
svr,svr_converted_seed_20.csv,2381,46918
svr,svr_converted_seed_21.csv,1985,47376
svr,svr_converted_seed_22.csv,2155,47084
svr,svr_converted_seed_23.csv,3012,45928
svr,svr_converted_seed_24.csv,2864,46092
svr,svr_converted_seed_25.csv,2272,46991
svr,svr_converted_seed_26.csv,2281,47067
svr,svr_converted_seed_27.csv,1901,47493
svr,svr_converted_seed_28.csv,2105,47170
svr,svr_converted_seed_29.csv,2269,47041
svr,svr_converted_seed_3.csv,2050,47233
svr,svr_converted_seed_30.csv,1930,47434
svr,svr_converted_seed_4.csv,2090,47205
svr,svr_converted_seed_5.csv,2180,47022
svr,svr_converted_seed_6.csv,1906,47415
svr,svr_converted_seed_7.csv,2288,46931
svr,svr_converted_seed_8.csv,2577,46656
svr,svr_converted_seed_9.csv,2265,47011
xgb,xgb_converted_seed_1.csv,1667,47750
xgb,xgb_converted_seed_10.csv,1824,47550
xgb,xgb_converted_seed_11.csv,1211,48309
xgb,xgb_converted_seed_12.csv,2268,46996
xgb,xgb_converted_seed_13.csv,2103,47148
xgb,xgb_converted_seed_14.csv,1848,47520
xgb,xgb_converted_seed_15.csv,1536,47848
xgb,xgb_converted_seed_16.csv,1532,47936
xgb,xgb_converted_seed_17.csv,1523,47922
xgb,xgb_converted_seed_18.csv,1828,47533
xgb,xgb_converted_seed_19.csv,2386,46844
xgb,xgb_converted_seed_2.csv,1793,47543
xgb,xgb_converted_seed_20.csv,2229,47122
xgb,xgb_converted_seed_21.csv,1525,47944
xgb,xgb_converted_seed_22.csv,1682,47793
xgb,xgb_converted_seed_23.csv,1842,47530
xgb,xgb_converted_seed_24.csv,2048,47314
xgb,xgb_converted_seed_25.csv,1974,47365
xgb,xgb_converted_seed_26.csv,1949,47367
xgb,xgb_converted_seed_27.csv,1628,47759
xgb,xgb_converted_seed_28.csv,1677,47736
xgb,xgb_converted_seed_29.csv,1745,47691
xgb,xgb_converted_seed_3.csv,1874,47452
xgb,xgb_converted_seed_30.csv,1641,47795
xgb,xgb_converted_seed_4.csv,1431,48048
xgb,xgb_converted_seed_5.csv,1823,47608
xgb,xgb_converted_seed_6.csv,1541,47914
xgb,xgb_converted_seed_7.csv,2074,47160
xgb,xgb_converted_seed_8.csv,1384,48124
xgb,xgb_converted_seed_9.csv,1925,47495
