model,file,rows_before,rows_after,removed,dup_groups,dup_rows,msg
knn,knn_converted_seed_9.csv,50000,1210,48790,862,48790,
rf,rf_converted_seed_1.csv,50000,3215,46785,2233,46785,
rf,rf_converted_seed_10.csv,50000,4116,45884,2917,45884,
rf,rf_converted_seed_11.csv,50000,3852,46148,2786,46148,
rf,rf_converted_seed_12.csv,50000,4638,45362,3292,45362,
rf,rf_converted_seed_13.csv,50000,4450,45550,3257,45550,
rf,rf_converted_seed_14.csv,50000,3124,46876,2222,46876,
rf,rf_converted_seed_15.csv,50000,3443,46557,2345,46557,
rf,rf_converted_seed_16.csv,50000,2945,47055,2098,47055,
rf,rf_converted_seed_17.csv,50000,2672,47328,1919,47328,
rf,rf_converted_seed_18.csv,50000,3151,46849,2237,46849,
rf,rf_converted_seed_19.csv,50000,2941,47059,2069,47059,
rf,rf_converted_seed_2.csv,50000,3352,46648,2385,46648,
rf,rf_converted_seed_20.csv,50000,4539,45461,3160,45461,
rf,rf_converted_seed_21.csv,50000,3197,46803,2291,46803,
rf,rf_converted_seed_22.csv,50000,3780,46220,2658,46220,
rf,rf_converted_seed_23.csv,50000,3581,46419,2560,46419,
rf,rf_converted_seed_24.csv,50000,3261,46739,2343,46739,
rf,rf_converted_seed_25.csv,50000,4485,45515,3081,45515,
rf,rf_converted_seed_26.csv,50000,3019,46981,2109,46981,
rf,rf_converted_seed_27.csv,50000,3022,46978,2210,46978,
rf,rf_converted_seed_28.csv,50000,4069,45931,2880,45931,
rf,rf_converted_seed_29.csv,50000,3473,46527,2494,46527,
rf,rf_converted_seed_3.csv,50000,5227,44773,3469,44773,
rf,rf_converted_seed_30.csv,50000,2895,47105,1997,47105,
rf,rf_converted_seed_4.csv,50000,2989,47011,2164,47011,
rf,rf_converted_seed_5.csv,50000,3378,46622,2442,46622,
rf,rf_converted_seed_6.csv,50000,3493,46507,2489,46507,
rf,rf_converted_seed_7.csv,50000,2675,47325,1883,47325,
rf,rf_converted_seed_8.csv,50000,3369,46631,2468,46631,
rf,rf_converted_seed_9.csv,50000,3032,46968,2290,46968,
svr,svr_converted_seed_1.csv,50000,3510,46490,2657,46490,
svr,svr_converted_seed_10.csv,50000,2977,47023,2215,47023,
svr,svr_converted_seed_11.csv,50000,2743,47257,2153,47257,
svr,svr_converted_seed_12.csv,50000,2563,47437,1945,47437,
svr,svr_converted_seed_13.csv,50000,2777,47223,2097,47223,
svr,svr_converted_seed_14.csv,50000,3263,46737,2452,46737,
svr,svr_converted_seed_15.csv,50000,3224,46776,2437,46776,
svr,svr_converted_seed_16.csv,50000,3333,46667,2463,46667,
svr,svr_converted_seed_17.csv,50000,3183,46817,2424,46817,
svr,svr_converted_seed_18.csv,50000,2937,47063,2196,47063,
svr,svr_converted_seed_19.csv,50000,2787,47213,2121,47213,
svr,svr_converted_seed_2.csv,50000,2928,47072,2192,47072,
svr,svr_converted_seed_20.csv,50000,3082,46918,2381,46918,
svr,svr_converted_seed_21.csv,50000,2624,47376,1985,47376,
svr,svr_converted_seed_22.csv,50000,2916,47084,2155,47084,
svr,svr_converted_seed_23.csv,50000,4072,45928,3012,45928,
svr,svr_converted_seed_24.csv,50000,3908,46092,2864,46092,
svr,svr_converted_seed_25.csv,50000,3009,46991,2272,46991,
svr,svr_converted_seed_26.csv,50000,2933,47067,2281,47067,
svr,svr_converted_seed_27.csv,50000,2507,47493,1901,47493,
svr,svr_converted_seed_28.csv,50000,2830,47170,2105,47170,
svr,svr_converted_seed_29.csv,50000,2959,47041,2269,47041,
svr,svr_converted_seed_3.csv,50000,2767,47233,2050,47233,
svr,svr_converted_seed_30.csv,50000,2566,47434,1930,47434,
svr,svr_converted_seed_4.csv,50000,2795,47205,2090,47205,
svr,svr_converted_seed_5.csv,50000,2978,47022,2180,47022,
svr,svr_converted_seed_6.csv,50000,2585,47415,1906,47415,
svr,svr_converted_seed_7.csv,50000,3069,46931,2288,46931,
svr,svr_converted_seed_8.csv,50000,3344,46656,2577,46656,
svr,svr_converted_seed_9.csv,50000,2989,47011,2265,47011,
xgb,xgb_converted_seed_1.csv,50000,2250,47750,1667,47750,
xgb,xgb_converted_seed_10.csv,50000,2450,47550,1824,47550,
xgb,xgb_converted_seed_11.csv,50000,1691,48309,1211,48309,
xgb,xgb_converted_seed_12.csv,50000,3004,46996,2268,46996,
xgb,xgb_converted_seed_13.csv,50000,2852,47148,2103,47148,
xgb,xgb_converted_seed_14.csv,50000,2480,47520,1848,47520,
xgb,xgb_converted_seed_15.csv,50000,2152,47848,1536,47848,
xgb,xgb_converted_seed_16.csv,50000,2064,47936,1532,47936,
xgb,xgb_converted_seed_17.csv,50000,2078,47922,1523,47922,
xgb,xgb_converted_seed_18.csv,50000,2467,47533,1828,47533,
xgb,xgb_converted_seed_19.csv,50000,3156,46844,2386,46844,
xgb,xgb_converted_seed_2.csv,50000,2457,47543,1793,47543,
